"Word","Rank","Frequency"
"precious","1344","148"
"box","1345","148"
"glass","1346","148"
"difference","1347","147"
"waiting","1348","147"
"greatest","1349","147"
"Adam","1350","147"
"Manasseh","1351","147"
"everybody","1352","147"
"Look","1353","147"
"Can","1354","147"
"depart","1355","147"
"Hell","1356","147"
"observed","1357","146"
"slowly","1358","146"
"measure","1359","146"
"seas","1360","146"
"captains","1361","146"
"food","1362","146"
"lamb","1363","146"
"companions","1364","145"
"possess","1365","145"
"probably","1366","145"
"due","1367","145"
"Joab","1368","145"
"shore","1369","145"
"joined","1370","144"
"utterly","1371","144"
"laughing","1372","144"
"Brandon","1373","144"
"blow","1374","144"
"persons","1375","144"
"pity","1376","144"
"crown","1377","144"
"danger","1378","144"
"tall","1379","143"
"soft","1380","143"
"England","1381","143"
"wrote","1382","143"
"teeth","1383","143"
"finished","1384","143"
"corn","1385","143"
"flowers","1386","143"
"grown","1387","143"
"lying","1388","143"
"sad","1389","142"
"spoil","1390","142"
"marriage","1391","142"
"prayer","1392","142"
"incense","1393","142"
"Middleton","1394","142"
"whatsoever","1395","142"
"beloved","1396","142"
"false","1397","142"
"lot","1398","141"
"quick","1399","141"
"lies","1400","141"
"bird","1401","141"
"Satan","1402","141"
"hot","1403","141"
"meaning","1404","141"
"Evan","1405","141"
"board","1406","141"
"sanctuary","1407","141"
"rule","1408","141"
"race","1409","140"
"sharp","1410","140"
"yours","1411","140"
"curiosity","1412","140"
"supposed","1413","139"
"buy","1414","139"
"lower","1415","139"
"companion","1416","139"
"selfe","1417","139"
"warm","1418","139"
"engaged","1419","139"
"wickedness","1420","139"
"bottom","1421","138"
"justice","1422","138"
"leaving","1423","138"
"somewhat","1424","138"
"paper","1425","138"
"snow","1426","138"
"catch","1427","138"
"lives","1428","138"
"See","1429","138"
"empty","1430","138"
"learn","1431","138"
"hide","1432","138"
"changed","1433","138"
"generations","1434","138"
"confidence","1435","138"
"sabbath","1436","138"
"burst","1437","138"
"hither","1438","137"
"remembered","1439","137"
"Was","1440","137"
"space","1441","137"
"Farmer","1442","137"
"notice","1443","137"
"ourselves","1444","137"
"statutes","1445","137"
"nearly","1446","137"
"prince","1447","137"
"Nay","1448","137"
"mistress","1449","137"
"Macb","1450","137"
"continually","1451","137"
"altogether","1452","136"
"curse","1453","136"
"dress","1454","136"
"particularly","1455","136"
"spot","1456","136"
"honest","1457","136"
"mast","1458","136"
"hence","1459","136"
"whosoever","1460","136"
"maid","1461","136"
"higher","1462","135"
"force","1463","135"
"tail","1464","135"
"drawn","1465","135"
"Sperm","1466","135"
